--- DIAGNOSTICS ---
           feature         VIF
0            const  477.605677
1   bp (Diastolic)    5.336653
2         bp limit    6.469117
3               sg    1.972504
4               al    1.904214
5              rbc    1.646965
6               su    1.387604
7               pc    2.517545
8              pcc    1.790305
9               ba    1.476696
10             bgr    1.109536
11              bu    2.521097
12             sod    1.539365
13              sc    2.257861
14             pot    1.457154
15            hemo    1.571855
16             pcv    2.458414
17            rbcc    1.856057
18            wbcc    1.237860
19             htn    2.524093
20              dm    2.122173
21             cad    1.483744
22           appet    1.463182
23              pe    1.688519
24             ane    2.007276
25             grf    2.402995
26           stage    6.895568
27        affected    4.968920
28             age    1.256582

DW Statistic: 0.07719184635624189
Breusch-Pagan p-value: 4.911358731933091e-27
